sequencing_run_name,sample_name,fq_dir,r1_file,r2_file,reaction_group,temperature,replicate,reaction_time,probe,probe_concentration,RT,treated,buffer,construct,done_by
240405_M05164_0164_000000000-LH62L,049-fourU-WT-10c-a-1-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,049-fourU-WT-10c-a-1-p_S49_L001.sub5k_R1.fastq.gz,049-fourU-WT-10c-a-1-p_S49_L001.sub5k_R2.fastq.gz,10_1,10,1,11820,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,050-fourU-WT-10c-a-2-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,050-fourU-WT-10c-a-2-p_S50_L001.sub5k_R1.fastq.gz,050-fourU-WT-10c-a-2-p_S50_L001.sub5k_R2.fastq.gz,10_1,10,1,30480,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,051-fourU-WT-10c-a-3-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,051-fourU-WT-10c-a-3-p_S51_L001.sub5k_R1.fastq.gz,051-fourU-WT-10c-a-3-p_S51_L001.sub5k_R2.fastq.gz,10_1,10,1,57120,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,052-fourU-WT-10c-a-4-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,052-fourU-WT-10c-a-4-p_S52_L001.sub5k_R1.fastq.gz,052-fourU-WT-10c-a-4-p_S52_L001.sub5k_R2.fastq.gz,10_1,10,1,98940,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,053-fourU-WT-10c-a-5-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,053-fourU-WT-10c-a-5-p_S53_L001.sub5k_R1.fastq.gz,053-fourU-WT-10c-a-5-p_S53_L001.sub5k_R2.fastq.gz,10_1,10,1,138660,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,054-fourU-WT-10c-a-6-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,054-fourU-WT-10c-a-6-p_S54_L001.sub5k_R1.fastq.gz,054-fourU-WT-10c-a-6-p_S54_L001.sub5k_R2.fastq.gz,10_1,10,1,191040,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,061-fourU-WT-15c-a-1-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,061-fourU-WT-15c-a-1-p_S61_L001.sub5k_R1.fastq.gz,061-fourU-WT-15c-a-1-p_S61_L001.sub5k_R2.fastq.gz,15_1,15,1,6120,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,062-fourU-WT-15c-a-2-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,062-fourU-WT-15c-a-2-p_S62_L001.sub5k_R1.fastq.gz,062-fourU-WT-15c-a-2-p_S62_L001.sub5k_R2.fastq.gz,15_1,15,1,15600,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,063-fourU-WT-15c-a-3-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,063-fourU-WT-15c-a-3-p_S63_L001.sub5k_R1.fastq.gz,063-fourU-WT-15c-a-3-p_S63_L001.sub5k_R2.fastq.gz,15_1,15,1,27900,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,064-fourU-WT-15c-a-4-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,064-fourU-WT-15c-a-4-p_S64_L001.sub5k_R1.fastq.gz,064-fourU-WT-15c-a-4-p_S64_L001.sub5k_R2.fastq.gz,15_1,15,1,51780,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,065-fourU-WT-15c-a-5-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,065-fourU-WT-15c-a-5-p_S65_L001.sub5k_R1.fastq.gz,065-fourU-WT-15c-a-5-p_S65_L001.sub5k_R2.fastq.gz,15_1,15,1,72000,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,066-fourU-WT-15c-a-6-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,066-fourU-WT-15c-a-6-p_S66_L001.sub5k_R1.fastq.gz,066-fourU-WT-15c-a-6-p_S66_L001.sub5k_R2.fastq.gz,15_1,15,1,100500,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240424_Lucks24_fourU_DMS_BATCH5-6,001_fourU_WT_18c_a_1_p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,001_fourU_WT_18c_a_1_p_S97.sub5k_R1.fastq.gz,001_fourU_WT_18c_a_1_p_S97.sub5k_R2.fastq.gz,18_1,18,1,4500,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240424_Lucks24_fourU_DMS_BATCH5-6,002_fourU_WT_18c_a_2_p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,002_fourU_WT_18c_a_2_p_S98.sub5k_R1.fastq.gz,002_fourU_WT_18c_a_2_p_S98.sub5k_R2.fastq.gz,18_1,18,1,10800,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
