environment	name	version	build	license	url	sha256	md5
shapemapper_make	jpeg	9e	h0b41bf4_3	IJG	https://conda.anaconda.org/conda-forge/linux-64/jpeg-9e-h0b41bf4_3.conda	8f73194d09c9ea4a7e2b3562766b8d72125cc147b62c7cf83393e3a3bbfd581b	c7a069243e1fbe9a556ed2ec030e6407
shapemapper_make	kernel-headers_linux-64	2.6.32	he073ed8_15	LGPL-2.0-or-later AND LGPL-2.0-or-later WITH exceptions AND GPL-2.0-or-later AND MPL-2.0	https://conda.anaconda.org/conda-forge/noarch/kernel-headers_linux-64-2.6.32-he073ed8_15.tar.bz2	c9f33acc0f1095bd4e7a2b577dfa41fc3fef3713b3975e8467a0fbed188fe6f4	5dd5127afd710f91f6a75821bac0a4f0
shapemapper_make	keyutils	1.6.1	h166bdaf_0	LGPL-2.1-or-later	https://conda.anaconda.org/conda-forge/linux-64/keyutils-1.6.1-h166bdaf_0.tar.bz2	150c05a6e538610ca7c43beb3a40d65c90537497a4f6a5f4d15ec0451b6f5ebb	30186d27e2c9fa62b45fb1476b7200e3
shapemapper_make	kiwisolver	1.4.4	py39hf939315_1	BSD-3-Clause	https://conda.anaconda.org/conda-forge/linux-64/kiwisolver-1.4.4-py39hf939315_1.tar.bz2	eb28254cc7029e702d0059536d986b010221de62f9c8588a5a83e95a00b4e74d	41679a052a8ce841c74df1ebc802e411
shapemapper_make	krb5	1.20.1	h81ceb04_0	MIT	https://conda.anaconda.org/conda-forge/linux-64/krb5-1.20.1-h81ceb04_0.conda	51a346807ce981e1450eb04c3566415b05eed705bc9e6c98c198ec62367b7c62	89a41adce7106749573d883b2f657d78
shapemapper_make	lame	3.100	h166bdaf_1003	LGPL-2.0-only	https://conda.anaconda.org/conda-forge/linux-64/lame-3.100-h166bdaf_1003.tar.bz2	aad2a703b9d7b038c0f745b853c6bb5f122988fe1a7a096e0e606d9cbec4eaab	a8832b479f93521a9e7b5b743803be51
shapemapper_make	lcms2	2.15	hfd0df8a_0	MIT	https://conda.anaconda.org/conda-forge/linux-64/lcms2-2.15-hfd0df8a_0.conda	443e926b585528112ec6aa4d85bf087722914ed8d85a2f75ae47c023c55c4238	aa8840cdf17ef0c6084d1e24abc7a28b
shapemapper_make	ld_impl_linux-64	2.39	hcc3a1bd_1	GPL-3.0-only	https://conda.anaconda.org/conda-forge/linux-64/ld_impl_linux-64-2.39-hcc3a1bd_1.conda	3e7f203e33ea497b6e468279cc5fdef7d556473c25e7466b35fd672940392469	737be0d34c22d24432049ab7a3214de4
shapemapper_make	lerc	4.0.0	h27087fc_0	Apache-2.0	https://conda.anaconda.org/conda-forge/linux-64/lerc-4.0.0-h27087fc_0.tar.bz2	cb55f36dcd898203927133280ae1dc643368af041a48bcf7c026acb7c47b0c12	76bbff344f0134279f225174e9064c8f
shapemapper_make	libblas	3.9.0	16_linux64_openblas	BSD-3-Clause	https://conda.anaconda.org/conda-forge/linux-64/libblas-3.9.0-16_linux64_openblas.tar.bz2	4e4c60d3fe0b95ffb25911dace509e3532979f5deef4364141c533c5ca82dd39	d9b7a8639171f6c6fa0a983edabcfe2b
shapemapper_make	libbrotlicommon	1.0.9	h166bdaf_8	MIT	https://conda.anaconda.org/conda-forge/linux-64/libbrotlicommon-1.0.9-h166bdaf_8.tar.bz2	ddc961a36d498aaafd5b71078836ad5dd247cc6ba7924157f3801a2f09b77b14	9194c9bf9428035a05352d031462eae4
shapemapper_make	libbrotlidec	1.0.9	h166bdaf_8	MIT	https://conda.anaconda.org/conda-forge/linux-64/libbrotlidec-1.0.9-h166bdaf_8.tar.bz2	d88ba07c3be27c89cb4975cc7edf63ee7b1c62d01f70d5c3f7efeb987c82b052	4ae4d7795d33e02bd20f6b23d91caf82
shapemapper_make	libbrotlienc	1.0.9	h166bdaf_8	MIT	https://conda.anaconda.org/conda-forge/linux-64/libbrotlienc-1.0.9-h166bdaf_8.tar.bz2	a0468858b2f647f51509a32040e93512818a8f9980f20b3554cccac747bcc4be	04bac51ba35ea023dc48af73c1c88c25
shapemapper_make	libcap	2.66	ha37c62d_0	BSD-3-Clause	https://conda.anaconda.org/conda-forge/linux-64/libcap-2.66-ha37c62d_0.tar.bz2	db113b0bacb45533ec6f5c13a548054af8bd0ca2f7583e8bc5989f17e1e1638b	2d7665abd0997f1a6d4b7596bc27b657
shapemapper_make	libcblas	3.9.0	16_linux64_openblas	BSD-3-Clause	https://conda.anaconda.org/conda-forge/linux-64/libcblas-3.9.0-16_linux64_openblas.tar.bz2	e4ceab90a49cb3ac1af20177016dc92066aa278eded19646bb928d261b98367f	20bae26d0a1db73f758fc3754cab4719
shapemapper_make	libclang	15.0.7	default_had23c3d_1	Apache-2.0 WITH LLVM-exception	https://conda.anaconda.org/conda-forge/linux-64/libclang-15.0.7-default_had23c3d_1.conda	eba3ed760c72c992a04d86455556ecb90c0e1e3688defcac44b28a848d71651c	36c65ed73b7c92589bd9562ef8a6023d
shapemapper_make	libclang13	15.0.7	default_h3e3d535_1	Apache-2.0 WITH LLVM-exception	https://conda.anaconda.org/conda-forge/linux-64/libclang13-15.0.7-default_h3e3d535_1.conda	e48481c37d02aefeddcfac20d48cf13b838c5f7b9018300fa7eac404d30f3d7f	a3a0f7a6f0885f5e1e0ec691566afb77
